Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,37054,1312,25960,9782,0,3.54,70.06,5.05,38928341,952.0,37431,463,1.24
Albania,6411,199,3342,2870,136,3.1,52.13,5.95,2877800,2228.0,7117,1002,14.08
Algeria,35160,1302,24506,9352,467,3.7,69.7,5.31,43851043,802.0,37664,3003,7.97
Andorra,955,52,839,64,0,5.45,87.85,6.2,77265,12360.0,989,56,5.66
Angola,1672,75,567,1030,100,4.49,33.91,13.23,32866268,51.0,1852,216,11.66
Antigua and Barbuda,92,3,76,13,0,3.26,82.61,3.95,97928,939.0,93,1,1.08
Argentina,246499,4606,108242,133651,4688,1.87,43.91,4.26,45195777,5454.0,282437,46606,16.5
Armenia,40410,791,32520,7099,225,1.96,80.48,2.43,2963234,13637.0,41299,1178,2.85
Australia,21397,313,11876,9208,313,1.46,55.5,2.64,50919400,420.0,23035,1567,6.8
Austria,22033,721,19923,1389,114,3.27,90.42,3.62,9006400,2446.0,22876,1886,8.24
Azerbaijan,33568,490,30364,2714,87,1.46,90.46,1.61,10139175,3311.0,34018,903,2.65
Bahamas,898,15,104,779,20,1.67,11.58,14.42,393248,2284.0,1119,584,52.19
Bahrain,44011,162,40967,2882,382,0.37,93.08,0.4,1701583,25865.0,46052,2609,5.67
Bangladesh,257600,3399,148370,105831,2487,1.32,57.6,2.29,164689383,1564.0,271881,18479,6.8
Barbados,142,7,112,23,4,4.93,78.87,6.25,287371,494.0,148,9,6.08
Belarus,68850,587,64935,3328,112,0.85,94.31,0.9,9449321,7286.0,69308,803,1.16
Belgium,74152,9872,17780,46500,751,13.31,23.98,55.52,11589616,6398.0,77113,3781,4.9
Belize,153,2,32,119,7,1.31,20.92,6.25,397621,385.0,356,292,82.02
Benin,1936,38,1600,298,0,1.96,82.64,2.38,12123198,160.0,2014,81,4.02
Bhutan,110,0,96,14,2,0.0,87.27,0.0,771612,143.0,133,21,15.79
Bolivia,89999,3640,29808,56551,944,4.04,33.12,12.21,11673029,7710.0,97950,9485,9.68
Bosnia and Herzegovina,13687,394,7373,5920,0,2.88,53.87,5.34,3280815,4172.0,15535,1861,11.98
Botswana,804,2,63,739,0,0.25,7.84,3.17,2351625,342.0,1214,94,7.74
Brazil,3035422,101049,2356983,577390,23010,3.33,77.65,4.29,422706534,7181.0,3275520,256810,7.84
Brunei,142,3,138,1,0,2.11,97.18,2.17,437483,325.0,142,1,0.7
Bulgaria,13396,447,7772,5177,53,3.34,58.02,5.75,6948445,1928.0,14243,888,6.23
Burkina Faso,1175,54,974,147,0,4.6,82.89,5.54,20903278,56.0,1238,59,4.77
Burma,360,6,312,42,1,1.67,86.67,1.92,54409800,7.0,374,61,16.31
Burundi,408,1,315,92,3,0.25,77.21,0.32,11890781,34.0,412,14,3.4
Cabo Verde,2858,32,2086,740,23,1.12,72.99,1.53,555988,5140.0,3136,276,8.8
Cambodia,251,0,219,32,3,0.0,87.25,0.0,16718971,15.0,273,0,0.0
Cameroon,18042,395,15320,2327,0,2.19,84.91,2.58,26545864,680.0,18469,293,1.59
Canada,121367,9028,105420,6919,219,7.44,86.86,8.56,75711404,1603.0,123605,2714,2.2
Central African Republic,4641,60,1721,2860,0,1.29,37.08,3.49,4829764,961.0,4652,27,0.58
Chad,944,76,839,29,2,8.05,88.88,9.06,16425859,57.0,951,30,3.15
Chile,373056,10077,345826,17153,2033,2.7,92.7,2.91,36692988,10167.0,382111,11658,3.05
China,88793,4686,82125,1982,121,5.28,92.49,5.71,-2147483648,-41.0,89214,402,0.45
Colombia,387481,12842,212688,161951,10611,3.31,54.89,6.04,99141018,3908.0,445111,77027,17.31
Comoros,399,7,369,23,0,1.75,92.48,1.9,869595,459.0,403,14,3.47
Congo (Brazzaville),3664,58,1589,2017,0,1.58,43.37,3.65,89561403,41.0,3745,105,2.8
Congo (Kinshasa),9454,224,8324,906,18,2.37,88.05,2.69,5518087,1713.0,9605,197,2.05
Costa Rica,23286,235,7730,15321,484,1.01,33.2,3.04,5094114,4571.0,26931,5203,19.32
Cote d'Ivoire,16715,105,12926,3684,95,0.63,77.33,0.81,26378274,634.0,16935,375,2.21
Croatia,5604,157,4861,586,61,2.8,86.74,3.23,4105268,1365.0,6258,1336,21.35
Cuba,2953,88,2451,414,65,2.98,83.0,3.59,11326616,261.0,3229,353,10.93
Cyprus,1242,19,870,353,9,1.53,70.05,2.18,1207361,1029.0,1318,88,6.68
Czechia,18353,390,12785,5178,118,2.12,69.66,3.05,10708981,1714.0,19693,1858,9.43
Denmark,14759,617,13069,1073,8,4.18,88.55,4.72,5897840,2502.0,15758,767,4.87
Diamond Princess,712,13,651,48,0,1.83,91.43,2.0,0,inf,712,0,0.0
Djibouti,5344,59,5106,179,6,1.1,95.55,1.16,988002,5409.0,5367,15,0.28
Dominica,18,0,18,0,0,0.0,100.0,0.0,71991,250.0,18,0,0.0
Dominican Republic,79732,1309,43744,34679,954,1.64,54.86,2.99,10847904,7350.0,84488,5379,6.37
Ecuador,94459,5922,78552,9985,887,6.27,83.16,7.54,17643060,5354.0,99409,7072,7.11
Egypt,95492,5009,52678,37805,178,5.25,55.16,9.51,102334403,933.0,96220,928,0.96
El Salvador,20423,549,9626,10248,445,2.69,47.13,5.7,6486201,3149.0,22314,1886,8.45
Equatorial Guinea,4821,83,2182,2556,0,1.72,45.26,3.8,1402985,3436.0,4821,105,2.18
Eritrea,285,0,245,40,0,0.0,85.96,0.0,3546427,80.0,285,21,7.37
Estonia,2152,63,1961,128,5,2.93,91.12,3.21,1326539,1622.0,2177,67,3.08
Eswatini,3236,58,1607,1571,108,1.79,49.66,3.61,1160164,2789.0,3670,458,12.48
Ethiopia,22818,407,10206,12205,565,1.78,44.73,3.99,114963583,198.0,27242,10423,38.26
Fiji,27,1,18,8,0,3.7,66.67,5.56,896444,30.0,28,0,0.0
Finland,7584,331,6980,273,16,4.36,92.04,4.74,5540718,1369.0,7700,171,2.22
France,235237,30327,82971,121939,29,12.89,35.27,36.55,68136441,3452.0,249655,22305,8.93
Gabon,7923,51,5704,2168,0,0.64,71.99,0.89,2225728,3560.0,8225,163,1.98
Gambia,1235,23,221,991,145,1.86,17.89,10.41,2416664,511.0,1623,814,50.15
Georgia,1225,17,1000,208,9,1.39,81.63,1.7,3989175,307.0,1306,79,6.05
Germany,217288,9202,196783,11303,385,4.23,90.56,4.68,166803158,1303.0,223791,9238,4.13
Ghana,41003,215,38330,2458,470,0.52,93.48,0.56,31072945,1320.0,41847,1478,3.53
Greece,5623,212,1347,4064,202,3.77,23.96,15.74,10423056,539.0,6632,1506,22.71
Grenada,24,0,23,1,0,0.0,95.83,0.0,112519,213.0,24,0,0.0
Guatemala,56605,2211,44598,9796,416,3.91,78.79,4.96,17915567,3160.0,61428,5513,8.97
Guinea,7930,50,6898,982,55,0.63,86.99,0.72,13132792,604.0,8260,672,8.14
Guinea-Bissau,2052,29,944,1079,0,1.41,46.0,3.07,1967998,1043.0,2088,61,2.92
Guyana,568,22,189,357,14,3.87,33.27,11.64,786559,722.0,649,232,35.75
Haiti,7634,183,4982,2469,23,2.4,65.26,3.67,11402533,670.0,7810,206,2.64
Holy See,12,0,12,0,0,0.0,100.0,0.0,809,14833.0,12,0,0.0
Honduras,47454,1495,6597,39362,481,3.15,13.9,22.66,9904608,4791.0,49467,3914,7.91
Hungary,4696,602,3499,595,43,12.82,74.51,17.2,9660350,486.0,4853,245,5.05
Iceland,1958,10,1834,114,3,0.51,93.67,0.55,341250,5738.0,1983,67,3.38
India,2215074,44386,1535743,634945,62064,2.0,69.33,2.89,-2147483648,-1031.0,2525922,449779,17.81
Indonesia,125396,5723,80952,38721,1893,4.56,64.56,7.07,273523621,458.0,135123,14285,10.57
Iran,326712,18427,284371,23914,2020,5.64,87.04,6.48,83992953,3890.0,338825,15939,4.7
Iraq,150115,5392,107775,36948,2726,3.59,71.79,5.0,40222503,3732.0,168290,28795,17.11
Ireland,26712,1772,23364,1576,68,6.63,87.47,7.58,4937796,5410.0,26995,760,2.82
Israel,83002,600,57533,24869,678,0.72,69.32,1.04,8655541,9589.0,91080,9636,10.58
Italy,250566,35205,202098,13263,463,14.05,80.66,17.42,120822834,2074.0,252809,4256,1.68
Jamaica,1023,14,745,264,20,1.37,72.83,1.88,2961161,345.0,1082,264,24.4
Japan,48782,1047,32867,14868,1440,2.15,67.38,3.19,252643406,193.0,53818,7131,13.25
Jordan,1252,11,1187,54,6,0.88,94.81,0.93,10203140,123.0,1329,203,15.27
Kazakhstan,99442,1058,72523,25861,741,1.06,72.93,1.46,18776707,5296.0,102287,2026,1.98
Kenya,26436,420,12961,13055,599,1.59,49.03,3.24,53771300,492.0,29334,2429,8.28
"Korea, South",14626,305,13658,663,28,2.09,93.38,2.23,51269183,285.0,15039,1963,13.05
Kosovo,9869,303,5480,4086,0,3.07,55.53,5.53,1793000,5504.0,11130,1038,9.33
Kuwait,71713,478,63519,7716,514,0.67,88.57,0.75,4270563,16792.0,75185,4084,5.43
Kyrgyzstan,39919,1468,31822,6629,348,3.68,79.72,4.61,6524191,6119.0,41373,1330,3.21
Laos,20,0,19,1,0,0.0,95.0,0.0,7275556,3.0,22,0,0.0
Latvia,1290,32,1070,188,2,2.48,82.95,2.99,1886202,684.0,1308,22,1.68
Lebanon,6517,78,2127,4312,294,1.2,32.64,3.67,6825442,955.0,8045,3535,43.94
Lesotho,742,23,175,544,0,3.1,23.58,13.14,2142252,346.0,884,131,14.82
Liberia,1237,79,723,435,3,6.39,58.45,10.93,5057677,245.0,1252,33,2.64
Libya,5451,119,701,4631,219,2.18,12.86,16.98,6871287,793.0,7327,2794,38.13
Liechtenstein,89,1,85,3,0,1.12,95.51,1.18,38137,2334.0,91,8,8.79
Lithuania,2252,81,1670,501,21,3.6,74.16,4.85,2722291,827.0,2352,212,9.01
Luxembourg,7205,120,5848,1237,36,1.67,81.17,2.05,625976,11510.0,7405,299,4.04
MS Zaandam,9,2,0,7,0,22.22,0.0,inf,0,inf,9,0,0.0
Madagascar,13086,148,10816,2122,164,1.13,82.65,1.37,27691019,473.0,13643,575,4.21
Malawi,4658,146,2375,2137,34,3.13,50.99,6.15,19129955,243.0,4988,334,6.7
Malaysia,9083,125,8784,174,13,1.38,96.71,1.42,32365998,281.0,9149,100,1.09
Maldives,5041,19,2804,2218,143,0.38,55.62,0.68,540542,9326.0,5572,992,17.8
Mali,2567,125,1962,480,2,4.87,76.43,6.37,20250834,127.0,2597,91,3.5
Malta,1089,9,684,396,54,0.83,62.81,1.32,441539,2466.0,1276,270,21.16
Mauritania,6523,157,5527,839,13,2.41,84.73,2.84,4649660,1403.0,6676,209,3.13
Mauritius,344,10,334,0,0,2.91,97.09,2.99,1271767,270.0,345,1,0.29
Mexico,480278,52298,384432,43548,4376,10.89,80.04,13.6,255584572,1879.0,511369,38365,7.5
Moldova,27660,845,19300,7515,217,3.05,69.78,4.38,4033963,6857.0,29483,3001,10.18
Monaco,133,4,113,16,2,3.01,84.96,3.54,39244,3389.0,146,8,5.48
Mongolia,293,0,263,30,0,0.0,89.76,0.0,3278292,89.0,298,0,0.0
Montenegro,3618,64,2452,1102,30,1.77,67.77,2.61,628062,5761.0,3930,347,8.83
Morocco,33237,498,23347,9392,1230,1.5,70.24,2.13,36910558,900.0,39241,10006,25.5
Mozambique,2269,16,840,1413,28,0.71,37.02,1.9,31255435,73.0,2708,487,17.98
Namibia,2949,19,704,2226,147,0.64,23.87,2.7,2540916,1161.0,3726,1501,40.28
Nepal,22972,75,16353,6544,380,0.33,71.19,0.46,29136808,788.0,25551,4932,19.3
Netherlands,59360,6178,237,52945,643,10.41,0.4,2606.75,34882427,1702.0,63127,4329,6.86
New Zealand,1569,22,1526,21,0,1.4,97.26,1.44,4822233,325.0,1609,62,3.85
Nicaragua,3902,123,2913,866,0,3.15,74.65,4.22,6624554,589.0,4115,196,4.76
Niger,1158,69,1057,32,1,5.96,91.28,6.53,24206636,48.0,1161,11,0.95
Nigeria,46577,945,33186,12446,437,2.03,71.25,2.85,399640130,117.0,48445,2859,5.9
North Macedonia,11839,527,7664,3648,85,4.45,64.74,6.88,2083380,5683.0,12515,793,6.34
Norway,9638,256,8857,525,39,2.66,91.9,2.89,5421242,1778.0,9908,367,3.7
Oman,81580,513,74691,6376,223,0.63,91.56,0.69,5106622,15975.0,82743,1026,1.24
Pakistan,284121,6082,260248,17791,634,2.14,91.6,2.34,428724125,663.0,287300,4288,1.49
Panama,74492,1639,48748,24105,841,2.2,65.44,3.36,4314768,17264.0,79402,4990,6.28
Papua New Guinea,214,3,53,158,26,1.4,24.77,5.66,8947027,24.0,271,90,33.21
Paraguay,6907,75,5222,1610,202,1.09,75.6,1.44,7132530,968.0,9022,3514,38.95
Peru,478024,21072,324020,132932,14149,4.41,67.78,6.5,65597846,7287.0,516296,50763,9.83
Philippines,129913,2270,67673,59970,3028,1.75,52.09,3.35,109581085,1186.0,153660,28705,18.68
Poland,51791,1807,36691,13293,624,3.49,70.84,4.92,37846605,1368.0,55319,4962,8.97
Portugal,52668,1756,38511,12401,131,3.33,73.12,4.56,10196707,5165.0,53783,1428,2.66
Qatar,112947,184,109709,3054,297,0.16,97.13,0.17,2881060,39203.0,114532,1949,1.7
Romania,61768,2700,30119,28949,1145,4.37,48.76,8.96,19237682,3211.0,68046,8309,12.21
Russia,885718,14903,692059,178756,5155,1.68,78.14,2.15,292579178,3027.0,910778,33893,3.72
Rwanda,2140,7,1346,787,6,0.33,62.9,0.52,12952209,165.0,2293,487,21.24
Saint Kitts and Nevis,17,0,16,1,0,0.0,94.12,0.0,53109,320.0,17,0,0.0
Saint Lucia,25,0,24,1,0,0.0,96.0,0.0,183629,136.0,25,1,4.0
Saint Vincent and the Grenadines,57,0,52,5,1,0.0,91.23,0.0,110854,514.0,57,1,1.75
San Marino,699,42,657,0,0,6.01,93.99,6.39,33938,20596.0,699,5,0.72
Sao Tome and Principe,878,15,800,63,0,1.71,91.12,1.88,219159,4006.0,885,6,0.68
Saudi Arabia,288690,3167,252039,33484,1428,1.1,87.3,1.26,34813867,8292.0,295902,9284,3.14
Senegal,11175,232,7352,3591,172,2.08,65.79,3.16,16743930,667.0,11872,817,6.88
Serbia,28099,641,0,27458,236,2.28,0.0,inf,8737370,3216.0,29233,1145,3.92
Seychelles,126,0,125,1,0,0.0,99.21,0.0,98340,1281.0,127,5,3.94
Sierra Leone,1916,68,1445,403,21,3.55,75.42,4.71,7976985,240.0,1947,25,1.28
Singapore,55104,27,48915,6162,175,0.05,88.77,0.06,5850343,9419.0,55580,636,1.14
Slovakia,2596,31,1864,701,30,1.19,71.8,1.66,5459643,475.0,2801,424,15.14
Slovenia,2249,127,1927,195,2,5.65,85.68,6.59,2078932,1082.0,2369,205,8.65
Somalia,3227,93,1728,1406,0,2.88,53.55,5.38,15893219,203.0,3250,15,0.46
South Africa,559859,10408,411474,137977,6671,1.86,73.5,2.53,59308690,9440.0,579140,24198,4.18
South Sudan,2470,47,1175,1248,7,1.9,47.57,4.0,11193729,221.0,2482,15,0.6
Spain,314362,28503,150376,135483,0,9.07,47.84,18.95,93691843,3355.0,342813,43241,12.61
Sri Lanka,2844,11,2579,254,3,0.39,90.68,0.43,21413250,133.0,2886,55,1.91
Sudan,11956,781,6266,4909,62,6.53,52.41,12.46,43849269,273.0,12162,461,3.79
Suriname,2391,29,1635,727,85,1.21,68.38,1.77,586634,4076.0,2838,622,21.92
Sweden,82323,5763,0,76560,0,7.0,0.0,inf,20426859,4030.0,84294,1774,2.1
Switzerland,36603,1986,32300,2317,152,5.43,88.24,6.15,8654618,4229.0,37671,1661,4.41
Syria,1188,52,346,790,63,4.38,29.12,15.03,17500657,68.0,1515,558,36.83
Taiwan*,477,7,441,29,0,1.47,92.45,1.59,23806638,20.0,481,6,1.25
Tajikistan,7745,62,6484,1199,39,0.8,83.72,0.96,9537642,812.0,7989,252,3.15
Tanzania,509,21,183,305,0,4.13,35.95,11.48,59734213,9.0,509,0,0.0
Thailand,3351,58,3151,142,3,1.73,94.03,1.84,69799978,48.0,3376,14,0.41
Timor-Leste,25,0,24,1,0,0.0,96.0,0.0,1318442,19.0,25,0,0.0
Togo,1060,23,729,308,14,2.17,68.77,3.16,8278737,128.0,1124,115,10.23
Trinidad and Tobago,279,8,135,136,4,2.87,48.39,5.93,1399491,199.0,426,438,102.82
Tunisia,1697,51,1263,383,19,3.01,74.43,4.04,11818618,144.0,1903,704,36.99
Turkey,240804,5844,223759,11201,1182,2.43,92.92,2.61,84339067,2855.0,246861,8862,3.59
US,5044864,162938,1656864,3225062,46935,3.23,32.84,9.83,330541757,15262.0,5313252,309288,5.82
Uganda,1283,7,1115,161,16,0.55,86.91,0.63,45741000,28.0,1385,463,33.43
Ukraine,82767,1925,45335,35507,1233,2.33,54.77,4.25,89634808,923.0,89917,13031,14.49
United Arab Emirates,62525,357,56568,5600,225,0.57,90.47,0.63,9890400,6322.0,63819,2374,3.72
United Kingdom,312574,41363,1451,269760,1113,13.23,0.46,2850.65,134856358,2318.0,318190,7073,2.22
Uruguay,1353,37,1125,191,18,2.73,83.15,3.29,3473727,389.0,1421,95,6.69
Uzbekistan,30609,194,22042,8373,957,0.63,72.01,0.88,33469199,915.0,33821,4253,12.58
Venezuela,25805,223,13356,12226,844,0.86,51.76,1.67,28435943,907.0,31381,6838,21.79
Vietnam,841,13,395,433,29,1.55,46.97,3.29,97338583,9.0,930,79,8.49
West Bank and Gaza,14208,97,7945,6166,280,0.68,55.92,1.22,4543126,3127.0,15834,2479,15.66
Western Sahara,10,1,8,1,0,10.0,80.0,12.5,597330,17.0,10,0,0.0
Yemen,1804,515,913,376,7,28.55,50.61,56.41,29825968,60.0,1858,48,2.58
Zambia,8085,235,6698,1152,182,2.91,82.84,3.51,18383956,440.0,9021,1606,17.8
Zimbabwe,4649,104,1437,3108,74,2.24,30.91,7.24,14862927,313.0,5072,743,14.65
